Frequency=3500(MHz)

Phi 	Theta	     ETotal.dB	         E(Phi).AmpdB	    E(Theta).AmpdB	     E(Phi).Phase	     E(Theta).Phase
0.05235987756	2.0420352248	-7.12573737754123	-15.5642560751931	-7.79728570515116	-0.171442804216006	-1.47657283382724
0.05235987756	2.0943951024	-6.18512346610602	-13.5698633673454	-7.06083351088182	0.288350164485978	-1.55353535804775
0.05235987756	2.14675498	-6.24980358567379	-16.0317930650181	-6.73229149666978	0.798384446317621	-1.5309738105004
0.05235987756	2.1991148575	-6.58404528211619	-19.2799625640344	-6.82400328682293	1.35832725755297	-1.54721062003723
0.05235987756	2.2514747351	-6.64770034733588	-19.4829140788877	-6.87987782836612	0.990502764069329	-1.60743480665372
0.05235987756	2.3038346126	-6.44937471153871	-15.3988213932773	-7.04105606916849	0.577535287107861	-1.61199317589494
0.05235987756	2.3561944902	-6.44164581168494	-14.4854826851244	-7.18284257869087	0.545464132391566	-1.59940242804188
0.05235987756	2.4085543678	-6.06794858489765	-15.5541606232739	-6.58655187767236	0.536461913588929	-1.67741071335728
0.05235987756	2.4609142453	-5.32282960684514	-15.9676984446461	-5.71432358844651	0.443348968964894	-1.76508701210863
0.05235987756	2.5132741229	-5.66182434216035	-17.4484852550437	-5.95962323831025	0.511138740174139	-1.75933091040175
0.05235987756	2.5656340004	-6.89151445253895	-20.3900738380306	-7.0900402038375	0.912505192093649	-1.70333291105096
0.05235987756	2.617993878	-6.9237606365364	-19.3264159629477	-7.18098769619582	0.737547394173967	-1.76792291037497
0.05235987756	2.6703537556	-5.38615025153677	-14.4237620988726	-5.96511171363591	0.134864089031075	-1.96141417978425
0.05235987756	2.7227136331	-4.89989429802551	-13.5365046201138	-5.53918086567914	-0.224095776547212	-2.14373682484412
0.05235987756	2.7750735107	-6.64863197714197	-20.6630126019879	-6.82446822101457	-0.547249818128411	-2.25191031962031
0.05235987756	2.8274333882	-8.56141922973485	-20.9148116108524	-8.82167037595402	1.27216669547576	-2.1515238251221
0.05235987756	2.8797932658	-6.88477647819581	-10.2975985056969	-9.52671774150313	0.971357351572007	-1.89159991177763
0.05235987756	2.9321531434	-5.66229816720155	-7.60798529792781	-10.0859949527062	0.700917489236372	-1.87644758741172
0.05235987756	2.9845130209	-7.65958929813591	-10.0865707935897	-11.3438932816934	0.426072392869335	-2.19761139667431
0.05235987756	3.0368728985	-9.78787085879031	-13.561865194418	-12.1488993087424	0.14653363988157	-2.44566174119423
